entity_code	common_name	neo_scientific_name	base_american_anchor	anchor_scientific_name	life_domain	american_range_or_anchor	wowas_zone_fit	myth_register	microbiology_register	source_media_register_1	source_media_register_2	source_media_register_3	source_trait_stack	pressure_split	morph_description	behavior_in_world	ecological_function	danger_to_humans	quest_or_scene_use	generator_notes	county_anchor	story_corridor_phase
wowas::arthropod_070	Rail-Spine Centipede	Scolopendra ferrosonus	giant desert centipede	industrial-ruin register	arthropod	Saltflat Crossing	zone::outer_territories	railroad phantom	phage burst	Metallica	Jason Voorhees	Ares	Metallica; Jason Voorhees; Ares; railroad phantom; phage burst	fear_by_stripping	Rail-Spine Centipede is a WoWaS-native modification of giant desert centipede, retaining an American ecological anchor while translating multiple source-pressure registers into altered behavior, texture, and world consequence.	actively strips safe surfaces into hazard	special myth/micro crossover seed	context-dependent; determined by current field coherence and hunger state	Use in Saltflat Crossing when the environment itself needs to feel characterful, memorable, and metabolically alive.	Internal generator seed; rename or further specialize per biome if promoted to direct scene play.		
wowas::bird_071	Choir-Storm Loon	Gavia threnodia	common loon	lake-omen register	bird	Still Water Basin	zone::outer_territories	thunderbird-register	none	Sara Evans	Lindsey Stirling	Thunderbird register	Sara Evans; Lindsey Stirling; Thunderbird register; thunderbird-register	wonder_from_wreckage	Choir-Storm Loon is a WoWaS-native modification of common loon, retaining an American ecological anchor while translating multiple source-pressure registers into altered behavior, texture, and world consequence.	coaxes order or shelter from damage	special myth/micro crossover seed	context-dependent; determined by current field coherence and hunger state	Use in Still Water Basin when the environment itself needs to feel characterful, memorable, and metabolically alive.	Internal generator seed; rename or further specialize per biome if promoted to direct scene play.		
wowas::mammal_072	Mercy-Web Opossum	Didelphis arcovita	Virginia opossum	graveyard-yardline register	mammal	Heartland	zone::outer_territories	dust-bowl ghost-light	gut mutualism	Bad Santa	Elle Woods	Professor McGonagall	Bad Santa; Elle Woods; Professor McGonagall; dust-bowl ghost-light; gut mutualism	wonder_from_wreckage	Mercy-Web Opossum is a WoWaS-native modification of Virginia opossum, retaining an American ecological anchor while translating multiple source-pressure registers into altered behavior, texture, and world consequence.	coaxes order or shelter from damage	special myth/micro crossover seed	context-dependent; determined by current field coherence and hunger state	Use in Heartland when the environment itself needs to feel characterful, memorable, and metabolically alive.	Internal generator seed; rename or further specialize per biome if promoted to direct scene play.		
wowas::flora_073	Static-Harp Milkweed	Asclepias fulgora	milkweed	pollinator shrine register	flora	Ashfields	zone::outer_territories	none	mycorrhizal exchange	Charmy	Lindsey Stirling	Michael Jackson	Charmy; Lindsey Stirling; Michael Jackson; mycorrhizal exchange	wonder_from_wreckage	Static-Harp Milkweed is a WoWaS-native modification of milkweed, retaining an American ecological anchor while translating multiple source-pressure registers into altered behavior, texture, and world consequence.	coaxes order or shelter from damage	special myth/micro crossover seed	context-dependent; determined by current field coherence and hunger state	Use in Ashfields when the environment itself needs to feel characterful, memorable, and metabolically alive.	Internal generator seed; rename or further specialize per biome if promoted to direct scene play.		
wowas::arachnid_074	Needle-Hinge Orbweaver	Araneus corticata	orb-weaver spider	geometry-trap register	arachnid	Deepwood	zone::outer_territories	mothman-register	biofilm persistence	Professor McGonagall	Freddy Krueger	Lacuna Coil	Professor McGonagall; Freddy Krueger; Lacuna Coil; mothman-register; biofilm persistence	unstable_mixed_field	Needle-Hinge Orbweaver is a WoWaS-native modification of orb-weaver spider, retaining an American ecological anchor while translating multiple source-pressure registers into altered behavior, texture, and world consequence.	produces beauty and threat at once	special myth/micro crossover seed	context-dependent; determined by current field coherence and hunger state	Use in Deepwood when the environment itself needs to feel characterful, memorable, and metabolically alive.	Internal generator seed; rename or further specialize per biome if promoted to direct scene play.		
wowas::county_oklahoma_okc_coyote_001	Thunderchain Coyote	Canis tonitrua	coyote	Canis latrans	mammal	Oklahoma County, Oklahoma	zone::okc_redglass	prairie ghost-light	actinomycete rain-bloom	Roseanne	Erza Scarlet	Metallica	blunt family protectiveness; armored response under pressure; thunder-riff momentum	wonder_from_wreckage	A red-dirt coyote with chain-bright scar lines beneath the fur and jaw plates that ring like struck rebar when it barks.	It circles camps during storms, drawing lightning away from sleeping children unless the camp has chosen cruelty.	urban-prairie protector and omen	moderate unless someone strikes at its chosen shelter-line	Use in Oklahoma City night crossings, creekbed camps, and storm scenes where survival humor and dread share the same air.	American naming forward; source media remain generator-side only.	Oklahoma County	westward_solution_run
wowas::county_oklahoma_okc_cicada_001	Overpass Flood Cicada	Magicicada viaducta	periodical cicada	Magicicada spp.	insect	Oklahoma County, Oklahoma	zone::okc_redglass	coyote sermon	asphalt biofilm	Kimmy Gibbler	Lindsey Stirling	Michael Jackson	shameless social disruption; knife-clean transition motion; pure-signal vocal broadcast	unstable_mixed_field	A cicada with translucent road-sign wings and a thorax veined like an overpass map; its shell flash goes silver-gold in heat lightning.	Its choruses sharpen memory and make lies impossible to keep rhythm with.	urban signal swarm / truth-pressure insect	low individually; swarm exposure can force panic or confession	Use when the party crosses flyovers or drainage channels and the city tries to speak through sound instead of architecture.	Treat their sound as infrastructural weather.	Oklahoma County	westward_solution_run
wowas::county_oklahoma_okc_flora_001	Redveil Switchgrass	Panicum rubravelis	switchgrass	Panicum virgatum	flora	Oklahoma County, Oklahoma	zone::okc_redglass	dust saint	road-ditch biofilm	Sam Gamgee	Noelle Silva	Sara Evans	practical shelter-making; pride under fear; open-throated lift	wonder_from_wreckage	Switchgrass whose blades braid themselves into windbreak walls when camps share food fairly.	It grows denser around mutual aid and thins around coercion.	shelter-forming flora / moral barometer	low	Use in camp-building scenes to show the world rewarding workable tenderness.	Keep its behavior ecological first, magical second.	Oklahoma County	westward_solution_run
wowas::county_oklahoma_okc_stone_001	Rose-Ribbed Glassstone	Silex rubrocostis	rose rock	barite rose (regional anchor)	stone	Oklahoma County, Oklahoma	zone::okc_redglass	red-river devil	none	Erza Scarlet	The Dervish	Apocalyptica	facet-armored grace; geometric lattice memory; percussive cello fracture	fear_by_stripping	A rose-stone variant that grows transparent edge-ribs like cut glass and stores the last hard sound struck nearby.	When broken it releases a pressure-wave of remembered weather and grief.	stone-memory hazard / clue medium	moderate to high if shattered at close range	Use in ruins, creekbeds, and battlefield remnants to let the land replay consequence.	Particularly good for showing Oklahoma remembers impacts bodily.	Oklahoma County	westward_solution_run
wowas::county_canadian_bobwhite_001	Hail-Halo Bobwhite	Colinus grandinimbis	northern bobwhite	Colinus virginianus	bird	Canadian County, Oklahoma	zone::prairie_silo	wheat angel	grain mold drift	Sam Gamgee	Bad Santa	Lindsey Stirling	domestic devotion; profane practical humor; slicing weather-transitions	wonder_from_wreckage	A bobwhite whose throat rings carry frost halos and whose tail plumes angle like bent wheat awns.	Coveys settle only where a camp has left room for the weak.	seed-spreader and omen bird	low	Use at dawn in prairie transition scenes to signal whether a sheltering place is worthy.	They make the prairie feel judged but not hostile.	Canadian County	westward_solution_run
wowas::county_canadian_widow_001	Silo Widow	Latrodectus horreica	black widow	Latrodectus mactans	arachnid	Canadian County, Oklahoma	zone::prairie_silo	rail widow	spore storms	Freddy Krueger	Elle Woods	Metallica	intimate threat; glamorous precision; unignorable force	fear_by_stripping	A widow spider nesting in tornado siren mouths and empty silos; its abdomen glows with a clean enamel red in lightning.	Its webbing catches spoken promises and vibrates when they are broken.	predator and oath-detector	high	Use in barn, silo, and storm-cellar scenes where people promise things under pressure.	Its silk is valuable but costly to harvest.	Canadian County	westward_solution_run
wowas::county_canadian_grass_001	Silo-Breath Bluestem	Andropogon spiraculis	big bluestem	Andropogon gerardii	flora	Canadian County, Oklahoma	zone::prairie_silo	dust saint	root-fungal barter	Kimmy Gibbler	Professor McGonagall	Sara Evans	chaotic persistence; transformation logic; vulnerable lift	unstable_mixed_field	Tall bluestem that exhales warm silo-smelling breath at dusk and folds into livable spiral walls when tornado pressure rises.	It can shelter travelers or trap them, depending on the moral weather of the group inside it.	storm architecture grass	variable	Use for prairie adventure scenes that need beauty, threat, and temporary shelter at once.	Best on pages where the land itself improvises.	Canadian County	westward_solution_run
wowas::county_canadian_stone_001	Hail-Scored Selenite Plate	Gypsum fulguralis	selenite	Gypsum	stone	Canadian County, Oklahoma	zone::prairie_silo	wheat angel	none	The Dervish	Lindsey Stirling	Michael Jackson	lattice clarity; razor-clean transition; luminous broadcast	wonder_from_wreckage	Flat gypsum plates etched by storm impact into feathering parallel lines that resonate when the wind crosses them.	They can be arranged into warning choirs around camps.	signal-stone / weather instrument	low unless weaponized	Use to let the plains sing warnings before violence arrives.	Pairs well with Zaz noticing what Pip misses.	Canadian County	westward_solution_run
wowas::county_larimer_lion_001	Gorge-Harp Mountain Lion	Puma canorupta	mountain lion	Puma concolor	mammal	Larimer County, Colorado	zone::front_range	mountain lion omen	pine rust	Drizzt Do'Urden	Jason Voorhees	Sara Evans	precision wilderness ethics; relentless arrival; bright grief-lift	fear_by_stripping	A lion with quartz whisker-strings along the jaw that sing when it exhales in cold air.	It stalks only the half-lost and drives the fully lost toward worse mouths.	apex predator and path-pressure	high	Use before the higher Rockies to tell the party the mountains are already testing them.	It should feel gorgeous before it feels fatal.	Larimer County	rocky_mountain_abduction_band
wowas::county_larimer_hawk_001	Aspen-Saw Tarantula Hawk	Pepsis tremocrista	tarantula hawk wasp	Pepsis grossa	arthropod	Larimer County, Colorado	zone::front_range	dead-road rider	lichen dust	Freddy Krueger	Lindsey Stirling	Metallica	needle-precise dread; acrobatic cut-lines; metal-force percussion	fear_by_stripping	A giant wasp with aspen-leaf blade wings that chatter like bowed metal when it banks.	It hunts along switchbacks and leaves a clean silence behind its passes.	aerial terror insect	high	Use on cliff roads and abandoned overlooks where movement itself becomes dangerous.	The sound should make readers brace before they see it.	Larimer County	rocky_mountain_abduction_band
wowas::county_larimer_fungus_001	Resin-Breath Lodgepole Rot	Serpula resinivox	lodgepole pine anchor	Pinus contorta	fungus	Larimer County, Colorado	zone::front_range	thunderbird fracture	lichen dust	Hermione Granger	Bad Santa	Apocalyptica	analytic spread; foul practical endurance; brutal sonic undercurrent	unstable_mixed_field	Amber-thread fungus that turns windthrow trunks into resonant hollows and breathes out hot resin steam at dusk.	It can preserve a campsite or cook it alive depending on handling.	decomposer / heat trap / accidental instrument	moderate	Use to make dead forest feel active and morally reactive.	Pairs well with Mack-memory scenes.	Larimer County	rocky_mountain_abduction_band
wowas::county_larimer_stone_001	Front-Range Feldspar Blade	Orthoclasa abrupta	feldspar / granite anchor	Orthoclase	stone	Larimer County, Colorado	zone::front_range	sky burial crow	none	Erza Scarlet	The Dervish	Apocalyptica	armored edge; geometric witness; percussive fracture	fear_by_stripping	Granite seams split into aligned feldspar blades shaped like dull feathers until struck, when they sharpen with sound.	They turn ravines into teeth-lined organs during storms.	terrain bladefield	high in storms	Use in passes where the land itself becomes a combatant.	Never describe as ordinary scree.	Larimer County	rocky_mountain_abduction_band
wowas::county_summit_bighorn_001	Ridge-Shear Bighorn	Ovis ruptacresta	Rocky Mountain bighorn sheep	Ovis canadensis	mammal	Summit County, Colorado	zone::high_rockies	jackalope war-ghost	snow algae	Natsu	Freddy Krueger	Apocalyptica	explosive heart-forward force; dream-violation; pounding string violence	fear_by_stripping	A bighorn whose horns carry translucent rime edges and fracture-light veins like frozen thunder.	When it runs a slope, snow and bone-dust follow together.	high-altitude hazard / omen beast	high	Use in the Rockies abduction band so the mountains feel alive before the rippers fully emerge.	A charge from one should feel like being hit by weather and grief together.	Summit County	rocky_mountain_abduction_band
wowas::county_summit_grasshopper_001	Snowblind Glasswing Hopper	Melanoplus glacivitra	grasshopper anchor	Melanoplus sp.	insect	Summit County, Colorado	zone::high_rockies	avalanche mouth	cryophilic biofilm	Lindsey Stirling	Michael Jackson	Jason Voorhees	knife-clean jump lines; impossible performance purity; relentless return	unstable_mixed_field	A high-alpine hopper with pane-like wings that throw silver flashes strong enough to ruin depth perception in snow.	Swarm direction often predicts where rippers will surface.	warning insect / disorientation swarm	moderate	Use to make the Rocky Mountain corridor more adventurous and dangerous long before direct abduction.	Pip should learn to read them slowly.	Summit County	rocky_mountain_abduction_band
wowas::county_summit_rust_001	Ice-Lung Bristlecone Rust	Cronartium cryocordis	rust fungus / bristlecone anchor	Cronartium sp.	fungus	Summit County, Colorado	zone::high_rockies	sky burial crow	snow algae	Gray Fullbuster	Professor McGonagall	Metallica	ice endurance; transformation grammar; hammering force	fear_by_stripping	A rust that calcifies branch tips into glassy breathing forks and steals warmth from tents pitched too close to infected timber.	It patterns campsites with beautiful lethal symmetry.	tree-pathogen / warmth thief	high over time	Use to make a pretty alpine camp visibly dangerous.	The party should respect its geometry.	Summit County	rocky_mountain_abduction_band
wowas::county_summit_stone_001	Scree-Choir Quartz Plate	Quartz altisonans	quartz anchor	Quartz	stone	Summit County, Colorado	zone::high_rockies	avalanche mouth	none	The Dervish	Lacuna Coil	Metallica	lattice music; gothic pressure; crushing scale	wonder_from_wreckage	Flat quartz sheets buried in scree that answer thunder with layered choir-tones.	They make whole slopes sound like an orchestra warming for catastrophe.	resonance stone / omen field	low unless destabilized	Use in Blood-Corridor foreshadowing and high mountain thresholds.	These are where the world first hints it can become an instrument.	Summit County	rocky_mountain_abduction_band
wowas::county_polk_beaver_001	Willamette Glass-Tail Beaver	Castor vitracauda	North American beaver	Castor canadensis	mammal	Polk County, Oregon	zone::independence_valley	orchard haint	cider yeast bloom	Tasslehoff Burrfoot	Menolly	Michael Jackson	curious constructive theft; music-born belonging; impossible signal grace	wonder_from_wreckage	A beaver with a translucent tail webbed in cider-gold mineral veins that lays dam walls in harmonic ratios.	Its work turns flood damage into livable wetlands and hidden music paths.	builder fauna / wonder engineer	low unless cornered at the lodge mouth	Use near Independence to show beauty and repair coming out of wreckage instead of overwriting it.	Excellent for scenes where Pip reads the world through unintended music.	Polk County	oregon_intuition_coast_return
wowas::county_polk_mantis_001	Orchard-Salt Mantis	Stagmomantis pomivora	mantis anchor	Stagmomantis carolina	insect	Polk County, Oregon	zone::independence_valley	blue dog warning	mycorrhizal root web	Kimmy Gibbler	Elle Woods	Lacuna Coil	chaotic charm; bright predatory intelligence; gothic elegance	unstable_mixed_field	A mantis the color of bruised apples and wet salt glass that perches on windfall fruit and watches camps with frankly social interest.	It can guide lost children to water and lure adults into orchard deadfalls the same night.	predator / mischief guide	moderate	Use in orchard and campus-ruin scenes where wonder and danger need to arrive together.	It should feel nosy, not random.	Polk County	oregon_intuition_coast_return
wowas::county_polk_flora_001	Choir-Vein Trillium	Trillium canora	trillium	Trillium ovatum	flora	Polk County, Oregon	zone::independence_valley	willamette river wife	mycorrhizal root web	Menolly	Hermione Granger	Sara Evans	survival through song; learned patterning; soft human lift	wonder_from_wreckage	White trillium whose petals show fine blue singing-veins visible at dusk; when picked kindly they keep vibrating for hours.	They bloom where people told true stories over the dead.	memory flower / grief ritual	low	Use in tenderness scenes and in grave-adjacent paths where the land remembers honesty.	They make the valley feel taught, not just grown.	Polk County	oregon_intuition_coast_return
wowas::county_polk_stone_001	Grain-Memory Basalt Lens	Basaltis granulens	basalt anchor	Basalt	stone	Polk County, Oregon	zone::independence_valley	orchard haint	none	The Dervish	Hermione Granger	Apocalyptica	lattice witness; analytical memory; dark string pressure	wonder_from_wreckage	Black basalt lenses with visible fine-grain banding that hold tactile memory of whatever rested against them longest.	In rain they replay touch as heat, sound, or faint image.	memory stone / clue medium	low	Use in campus ruins, farm walls, and river edges to make history physically recoverable.	Very good for Pip investigation scenes.	Polk County	oregon_intuition_coast_return
wowas::county_lincoln_elk_001	Surf-Crypt Roosevelt Elk	Cervus littoracrypta	Roosevelt elk	Cervus canadensis roosevelti	mammal	Lincoln County, Oregon	zone::oregon_coast	drowned cathedral	luminous brine threads	Lacuna Coil	Lindsey Stirling	Metallica	gothic enormity; cutting transitions; crushing symphonic surge	unstable_mixed_field	An elk whose antlers carry agate growths and hanging salt-film sheets that hum when sea fog moves through them.	Its herd paths lead to tide caves and undertow mouths with equal sincerity.	coastal guide / coastal hazard	high near surf	Use in fog and beachline travel so the coast feels sentient and impossible.	Its beauty should make the pull toward danger plausible.	Lincoln County	oregon_intuition_coast_return
wowas::county_lincoln_spider_001	Foam-Needle Shore Spider	Argiope littoralis	orb-weaver anchor	Argiope aurantia	arachnid	Lincoln County, Oregon	zone::oregon_coast	sea-witch warning	salt biofilm	Freddy Krueger	Elle Woods	Michael Jackson	intimate sensory violation; perfect design; pure performance flare	fear_by_stripping	A shore spider that strings webs between driftwood ribs and basalt knives; each strand beads with seawater light.	People who walk through its webbing lose bearings on up and down for minutes.	predator / disorientation webber	moderate	Use in tide-cave and driftline scenes right before the water takes Pip.	It should make the coast feel actively deceptive.	Lincoln County	oregon_intuition_coast_return
wowas::county_lincoln_kelp_001	Brine-Lantern Kelpgrass	Zostera phosphorea	eelgrass / kelpgrass anchor	Zostera marina	flora	Lincoln County, Oregon	zone::oregon_coast	whale-road dead	kelp rot bloom	Menolly	Bad Santa	Sara Evans	life-loving melody; rough tenderness; bright ache	wonder_from_wreckage	Seagrass that grows glowing nodules whenever someone dies in the surf and then anchors sand back into place.	It turns tragedy into navigable shoreline lines.	coastal stabilizer / memorial flora	low	Use after ocean violence to show the coast making beauty out of loss without becoming soft.	Pairs well with Daisy and Majiskii being unbothered.	Lincoln County	oregon_intuition_coast_return
wowas::county_lincoln_stone_001	Tidemark Agate Sheet	Achates aestuarii	agate anchor	Agate	stone	Lincoln County, Oregon	zone::oregon_coast	sea-witch warning	none	The Dervish	Lacuna Coil	Lindsey Stirling	glasslike lattice memory; dark beauty; edged motion	wonder_from_wreckage	Flat agate sheets layered like giant feathers in the beach basalt; when wetted, they show moving maps of absent currents.	They taught the first coastal survivors where not to stand.	current-map stone	low	Use in the ocean-pull corridor and in the geode shell origin logic.	These are kin to the material later erupting from Pip.	Lincoln County	oregon_intuition_coast_return
wowas::county_ada_pronghorn_001	Road-Salt Pronghorn	Antilocapra exitialis	pronghorn	Antilocapra americana	mammal	Ada County, Idaho	zone::brochure_trace	brochure ghost	alkali crust films	Hermione Granger	Joey Tribbiani	Metallica	pattern recognition; guileless hunger; driving force	wonder_from_wreckage	A pronghorn whose shoulder fur prints faint route maps in roadside dust after it beds down.	Travelers follow them toward things they need, not always things they want.	guide fauna / lure fauna	moderate	Use around ruined highway stops and brochure caches.	Should feel helpful until the destination proves otherwise.	Ada County	brochure_trace_inland
wowas::county_ada_cicada_001	Neon Rest-Stop Cicada	Magicicada tabulata	periodical cicada	Magicicada spp.	insect	Ada County, Idaho	zone::brochure_trace	road siren	fuel-slick bacterial mats	Kimmy Gibbler	Michael Jackson	Lindsey Stirling	shameless weirdness; pure rhythm broadcast; knife-clean transitions	unstable_mixed_field	A cicada whose wings look laminated like highway pamphlets and whose song sharpens around map racks and ruined visitor centers.	It will not sing over a false brochure.	signal insect / document verifier	low	Use in the Idaho brochure discovery sequence.	Lets the world validate clues instead of a narrator doing it.	Ada County	brochure_trace_inland
wowas::county_ada_lichen_001	Exit-Sign Lichen	Lecanora vialucens	lichen anchor	Lecanora spp.	flora	Ada County, Idaho	zone::brochure_trace	jackrabbit preacher	dust extremophiles	Hermione Granger	Drizzt Do'Urden	Sara Evans	learned clarity; ethical wayfinding; bright lift	wonder_from_wreckage	Pale green lichen that fluoresces into road-arrow shapes where stone has stored too much lost intent.	It crawls toward the right answer slowly, like thought becoming visible.	clue flora / route index	low	Use in the inland clue corridor and rest-stop ruins.	Helps keep the adventure rich without cheap exposition.	Ada County	brochure_trace_inland
wowas::county_ada_stone_001	Brochure-Echo Obsidian	Obsidia prospecta	obsidian anchor	Volcanic glass	stone	Ada County, Idaho	zone::brochure_trace	brochure ghost	none	The Dervish	Hermione Granger	Michael Jackson	lattice recall; analytic witness; impossible signal clarity	wonder_from_wreckage	Black glass that replays the last picture a traveler tried to compare against their dream.	In the right angle it can prove a hunch and ruin a hope at the same time.	evidence stone	moderate if broken	Use at the Idaho stop where the party finally proves Pip's cave image is real.	It should feel like confirmation with teeth.	Ada County	brochure_trace_inland
wowas::county_bannock_coyote_001	Lava-Tube Choir Coyote	Canis lavasonus	coyote	Canis latrans	mammal	Bannock County, Idaho	zone::high_desert_trace	fire-snake under the basalt	cryptobiotic crust	Asta	Professor McGonagall	Apocalyptica	grit without permission; transformation identity; violent string propulsion	unstable_mixed_field	A desert coyote with basalt-dark ribs that ring hollow and red when it howls.	It leads predators away from children and hunters toward sinkholes according to logics no one fully trusts.	guide predator / threshold animal	moderate	Use in high-desert travel where the road begins to feel subterranean even before the caves.	Its howl should sound almost musical.	Bannock County	brochure_trace_inland
wowas::county_bannock_cricket_001	Basalt-Rail Cave Cricket	Ceuthophilus ferrilinea	camel cricket anchor	Ceuthophilus spp.	arthropod	Bannock County, Idaho	zone::high_desert_trace	freight phantom	lava-tube slime	Kimmy Gibbler	Freddy Krueger	Metallica	chaotic intrusion; intimate discomfort; pounding industrial force	fear_by_stripping	A leggy cricket with rail-sheen joints and a habit of erupting from culverts and lava tubes when lies stack too high in camp.	Its bodies smell like hot iron and wet pennies.	fear insect / camp-breaker	moderate	Use for nights when the party is too tired to keep up emotional defenses.	They are not lethal, just horrible enough to matter.	Bannock County	brochure_trace_inland
wowas::county_bannock_lichen_001	Culvert Halo Crust	Biatora halocincta	lichen crust anchor	Biatora spp.	flora	Bannock County, Idaho	zone::high_desert_trace	horned rabbit warning	iron-chelating bacteria	Hermione Granger	Bad Santa	Lindsey Stirling	knowledge under grime; foul endurance; knife-clean motion	wonder_from_wreckage	Desert crust that rings culvert mouths and tunnel edges in pale halos, showing where structural soundness still holds.	People follow it to live another day.	structural indicator flora	low	Use to make ruins practical and survivable rather than just picturesque.	A direct worldbuilding helper.	Bannock County	brochure_trace_inland
wowas::county_bannock_stone_001	Phosphor Basalt Kite	Basaltis phosphorkyta	basalt anchor	Basalt	stone	Bannock County, Idaho	zone::high_desert_trace	fire-snake under the basalt	none	The Dervish	Apocalyptica	Michael Jackson	geometric lattice; pounded rhythm; pure visual flare	fear_by_stripping	Basalt flakes that weather into long kite-shaped sheets and glow green-blue when trod on by the desperate.	They turn canyon floors into maps of panic.	pressure stone / path reader	low	Use when Pip's intuition and the party's fear start diverging.	Reads bodies better than minds.	Bannock County	brochure_trace_inland
wowas::county_bonneville_heron_001	Spillway Ghost Heron	Ardea cataracta	great blue heron	Ardea herodias	bird	Bonneville County, Idaho	zone::river_trace	water panther	cold-current biofilm	Menolly	Jason Stackhouse	Sara Evans	music as belonging; body-forward sincerity; bright emotional lift	wonder_from_wreckage	A heron with pale spillway-blue bones visible through the throat skin and a call that sounds like a bowed pipe.	It stands where the water still wants to remember its old engineering.	river omen / guide bird	low	Use when the party needs to understand water and architecture are still in dialogue.	Good for quiet scene transitions.	Bonneville County	brochure_trace_inland
wowas::county_bonneville_dragonfly_001	Pump-Cable Dragonfly	Anax funiculis	common green darner	Anax junius	insect	Bonneville County, Idaho	zone::river_trace	canyon choir	sulfur edge mats	Lindsey Stirling	Metallica	Professor McGonagall	clean acrobatic vectoring; heavy force; transformation logic	unstable_mixed_field	A dragonfly with cable-black abdomen rings and wings that tremble at the edge of audibility like plucked wire.	Swarm direction predicts whether a crossing will hold.	crossing predictor insect	low	Use in river crossings and industrial ruin scenes.	Lets nature and infrastructure feel fused.	Bonneville County	brochure_trace_inland
wowas::county_bonneville_biofilm_001	Cold-Current Choir Film	Biofilma hydrocantus	microbial film anchor	mixed biofilm	microbe	Bonneville County, Idaho	zone::river_trace	sainted trout	cold-current biofilm	Hermione Granger	Lacuna Coil	Michael Jackson	patterned intelligence; dark beauty; impossible broadcast	wonder_from_wreckage	A translucent microbial film that grows on stone at waterline and vibrates when sung near correctly.	It can store song like a wet memory plate.	microbial archive	low	Use for scenes where Pip's unshown practice has environmental echoes.	Subtle, not loud.	Bonneville County	brochure_trace_inland
wowas::county_bonneville_stone_001	Thunder-Lace Chalcedony	Chalcedona fulgurfilis	chalcedony anchor	Chalcedony	stone	Bonneville County, Idaho	zone::river_trace	water panther	none	The Dervish	Sara Evans	Metallica	lattice grace; human ache; storm force	wonder_from_wreckage	Pale blue lace-stone that knots itself around fracture lines like embroidered lightning.	Travelers carry pieces as if they were prayers.	keepsake stone / omen field	low	Use when the corridor needs beauty that still feels earned.	Particularly right around Pip's more hopeful intuition scenes.	Bonneville County	brochure_trace_inland
wowas::county_phelps_deer_001	Pit-Stop White-Tail	Odocoileus tabulifer	white-tailed deer	Odocoileus virginianus	mammal	Phelps County, Missouri	zone::rolla_entry	ozark cave haint	cave biofilm	Drizzt Do'Urden	Elle Woods	Michael Jackson	elegant survival intelligence; bright disarming poise; electric grace	wonder_from_wreckage	A deer whose antlers flare into brochure-thin planes whenever it smells tourists' paper or old maps.	It leads seekers to old information caches and predators to the seekers following it.	guide deer / lure deer	moderate	Use in Rolla approach scenes where the land starts speaking cave-state logic through surface animals.	It should make the world feel weirdly literate.	Phelps County	onondaga_shell_arc
wowas::county_phelps_beetle_001	Brochure-Mouth Cave Beetle	Ptomaphagus tabulensis	cave beetle anchor	Ptomaphagus spp.	arthropod	Phelps County, Missouri	zone::rolla_entry	lantern wolf	guano bacteria	Kimmy Gibbler	Freddy Krueger	Lindsey Stirling	shameless intrusion; intimate disgust; knife-sharp movement	fear_by_stripping	A pale beetle that nests in brochure stands, cave pamphlet boxes, and glove compartments, chewing neat picture-windows into paper.	It leaves only the image you most need or most fear.	document-eater / omen arthropod	low to moderate	Use at the exact moment the road clue becomes undeniable.	This one should feel uncomfortably helpful.	Phelps County	onondaga_shell_arc
wowas::county_phelps_moss_001	Spring-Echo Cave Moss	Bryum resonans	moss anchor	Bryum spp.	flora	Phelps County, Missouri	zone::rolla_entry	hill mother	calcite slime threads	Menolly	Hermione Granger	Sara Evans	song-held memory; learned response; soft human lift	wonder_from_wreckage	Moss that ripples in concentric rings when named kindly and grows around spring mouths in step-like terraces.	It teaches feet where to go in the dark.	path-forming flora	low	Use in gentle cave entry scenes and on pages where Pip's dreams feel briefly trustworthy.	A kindness-rewarding organism.	Phelps County	onondaga_shell_arc
wowas::county_phelps_stone_001	Rolla Roadcut Chert Fan	Silica rollensis	chert anchor	Chert	stone	Phelps County, Missouri	zone::rolla_entry	ozark cave haint	none	The Dervish	Elle Woods	Apocalyptica	geometric authority; bright exactness; percussive fracture	unstable_mixed_field	Roadcut chert that splits into fan-arranged plates like long mineral feathers and rings when truck ghosts pass.	It can point toward caves or collapse a shoulder without warning.	road stone / threshold indicator	moderate	Use in travel scenes and quarry-edge camps near Rolla.	This is where the wing geometry begins foreshadowing itself.	Phelps County	onondaga_shell_arc
wowas::county_crawford_bat_001	Onondaga Shellwing Bat	Myotis testudinea	little brown bat	Myotis lucifugus	mammal	Crawford County, Missouri	zone::onondaga_caves	under-river dragon	moonmilk bacterium	Lacuna Coil	Lindsey Stirling	Metallica	gothic grace; cutting transition arcs; crushing sonic force	unstable_mixed_field	A cave bat whose wing membranes flash neon pink at the veins when stressed and whose roosting clusters resemble closed mineral flowers.	They wheel around the geode shell without touching it, like attendants who already understand the event.	pollinator / omen mammal	low unless swarmed	Use in the shell siege so the cave already looks like it knows what Pip is becoming.	These creatures should not be random bats.	Crawford County	onondaga_shell_arc
wowas::county_crawford_scorpion_001	Lily-Pad Water Scorpion	Ranatra liliata	water scorpion anchor	Ranatra spp.	arthropod	Crawford County, Missouri	zone::onondaga_caves	cave broadcaster	cave-lake bloom	Freddy Krueger	Professor McGonagall	Michael Jackson	sensory invasion; body-shape reclassification; impossible precision	fear_by_stripping	An elongated predatory insect drifting beneath stone lily pads, its raptorial limbs folded like prayer knives.	It confuses depth and reflection, making cave pools feel inhabited by intention.	pool predator / distortion maker	high near water edges	Use in cavern water scenes and in the dream-return imagery.	This one belongs in Pip's cave dream language.	Crawford County	onondaga_shell_arc
